B00, 19
B04, Blotteritem, {'type': 'Trade', 'time': 280.6791666664936, 'price': 196, 'party1': 'B04', 'party2': 'S11', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 336.3708333331096, 'price': 203, 'party1': 'B04', 'party2': 'S33', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 350.1291666664304, 'price': 224, 'party1': 'B04', 'party2': 'S98', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 381.4333333330686, 'price': 181, 'party1': 'B04', 'party2': 'S26', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 406.7333333330456, 'price': 144, 'party1': 'B04', 'party2': 'S33', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 459.33333333299777, 'price': 232, 'party1': 'B04', 'party2': 'S15', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 501.1416666662931, 'price': 264, 'party1': 'S78', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 543.554166666685, 'price': 187, 'party1': 'B04', 'party2': 'S33', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 567.666666666992, 'price': 247, 'party1': 'B04', 'party2': 'S38', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 582.3666666671792, 'price': 206, 'party1': 'B04', 'party2': 'S95', 'qty': 1}
B05, 19
B05, Blotteritem, {'type': 'Trade', 'time': 20.3458333333325, 'price': 203, 'party1': 'B05', 'party2': 'S18', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 38.025000000003295, 'price': 204, 'party1': 'B05', 'party2': 'S27', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 116.40416666664296, 'price': 213, 'party1': 'B05', 'party2': 'S14', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 131.70416666662905, 'price': 217, 'party1': 'B05', 'party2': 'S39', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 177.8166666665871, 'price': 216, 'party1': 'B05', 'party2': 'S45', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 182.10833333324987, 'price': 177, 'party1': 'S03', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 237.72916666653262, 'price': 202, 'party1': 'B05', 'party2': 'S14', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 269.9166666665034, 'price': 237, 'party1': 'B05', 'party2': 'S07', 'qty': 1}
